Nome; Idade; Genero; Cidade; Local Nascimento; RG; CPF; 
Lucas;21;3123; csads; dasda; kdoaka;23123; 
dasdasd; dasdas; dasd; asd; aad; da; d; 
Nome; Idade; Genero; Cidade; Local Nascimento; RG; CPF; 
casda; dasda; asdasd; asdasd; asdas; asda; das; 
Nome; Idade; Genero; Cidade; Local Nascimento; RG; CPF; 
lucas; reare; dasd; as; casc; aasd; das; 
Nome; Idade; Genero; Cidade; Local Nascimento; RG; CPF; 
Lucas; 21; afvasd; sasd; sdasd; 312341234; 123123; 
dasda; das; xzxc; casda; dasdas; sdasda; czxcz; 
